#Threads	Array Size	Time0	GOPS0	Time1	GOPS1	T_GOPS1	REPS	BW1	BW2	T_BW	-2147483646	-2147483648	-2147483647	-2147483645	-2147483598	-2147483625	-2147483624	-2147483628	-2147483627	-2147483611	-2147483585	-2147483596	-2147483583	-2147483546	-2147483582
1	 256 	2.03	8.07	2.04	8.06	8.06	" 64,000,000 "	96.87	96.69	96.69	 316 	 765 	 787 	 208 	" 17,728,005,076 "	 533 	 197 	 10 	 9 	" 220,271 "	 561 	 -   	 730 	 -   	 161 
4	 256 	2.20	7.44	2.20	7.44	29.77	" 64,000,000 "	89.30	89.30	357.20	 255 	" 1,286 "	 484 	 210 	" 17,728,031,786 "	 658 	 433 	 10 	 13 	" 241,579 "	 949 	 -   	" 1,311 "	 -   	 189 
8	 256 	2.25	7.29	2.25	7.29	58.32	" 64,000,000 "	87.44	87.45	699.58	 336 	 793 	 829 	 205 	" 17,728,087,911 "	 369 	 181 	 14 	 11 	" 242,246 "	 234 	 -   	 438 	 -   	 219 
12	 256 	4.18	3.94	4.06	4.05	48.62	" 64,000,000 "	47.24	48.63	583.56	 408 	" 12,192 "	 546 	 245 	" 17,729,627,159 "	" 10,873 "	" 2,639 "	 44 	 33 	" 267,230,217 "	" 9,375 "	 9 	" 16,418 "	 9 	 355 
16	 256 	4.50	3.64	4.50	3.64	58.24	" 64,000,000 "	43.69	43.70	699.20	 501 	" 25,334 "	 444 	 176 	" 17,728,342,865 "	" 18,169 "	" 6,544 "	 23 	 17 	" 691,043,077 "	" 24,290 "	 -   	" 23,936 "	 -   	 520 
1	 288 	2.03	8.05	2.05	8.02	8.02	" 56,888,888 "	96.58	96.24	96.24	 398 	 946 	 438 	 207 	" 17,692,449,284 "	 742 	 112 	 10 	 8 	" 284,555,594 "	 574 	 -   	 823 	 -   	 175 
4	 288 	2.20	7.44	2.19	7.50	30.00	" 56,888,888 "	89.32	89.98	359.90	 252 	 653 	 436 	 214 	" 17,692,504,656 "	 449 	 159 	 11 	 12 	" 284,268,161 "	 435 	 -   	 677 	 -   	 171 
8	 288 	2.25	7.29	2.25	7.30	58.38	" 56,888,888 "	87.52	87.54	700.29	 294 	 835 	 452 	 209 	" 17,692,582,233 "	 600 	 186 	 13 	 13 	" 284,856,086 "	 533 	 -   	 741 	 -   	 226 
12	 288 	4.12	4.00	4.14	3.98	47.71	" 56,888,888 "	47.94	47.72	572.66	 416 	" 22,006 "	 759 	 251 	" 17,694,071,839 "	" 12,645 "	" 4,199 "	 45 	 34 	" 518,796,702 "	" 16,612 "	 82 	" 17,070 "	 82 	 334 
16	 288 	4.50	3.64	4.50	3.64	58.27	" 56,888,888 "	43.74	43.70	699.23	 567 	" 36,565 "	 365 	 172 	" 17,693,334,488 "	" 25,083 "	" 9,705 "	 32 	 21 	" 591,126,023 "	" 33,919 "	 -   	" 34,690 "	 -   	 469 
1	 320 	2.03	8.06	2.04	8.02	8.02	" 51,200,000 "	96.72	96.28	96.28	 408 	" 1,085 "	 409 	 203 	" 17,664,005,135 "	 824 	 161 	 10 	 7 	" 270,605,517 "	 848 	 -   	" 1,070 "	 -   	 168 
4	 320 	2.17	7.54	2.17	7.54	30.16	" 51,200,000 "	90.42	90.45	361.78	 304 	 952 	 434 	 205 	" 17,664,005,660 "	 467 	 321 	 13 	 10 	" 274,238,317 "	 607 	 -   	 874 	 -   	 216 
8	 320 	2.25	7.28	2.24	7.30	58.40	" 51,200,000 "	87.36	87.61	700.90	 354 	" 1,306 "	 679 	 213 	" 17,664,139,798 "	 628 	 573 	 22 	 16 	" 262,022,416 "	 822 	 -   	" 1,197 "	 -   	 256 
12	 320 	4.10	4.02	4.27	3.85	46.15	" 51,200,000 "	48.21	46.14	553.70	 492 	" 10,989 "	 795 	 249 	" 17,665,806,728 "	" 11,047 "	" 5,131 "	 45 	 30 	" 465,416,983 "	" 18,619 "	 73 	" 20,061 "	 73 	 538 
16	 320 	4.49	3.65	4.49	3.65	58.40	" 51,200,000 "	43.78	43.78	700.48	 519 	" 43,294 "	 887 	 175 	" 17,664,316,664 "	" 33,888 "	" 8,956 "	 38 	 20 	" 553,421,135 "	" 42,746 "	 -   	" 42,376 "	 -   	 427 
1	 352 	2.03	8.06	2.03	8.08	8.08	" 46,545,454 "	96.76	96.90	96.90	 430 	" 1,326 "	 363 	 204 	" 17,640,732,230 "	 871 	 334 	 6 	 10 	" 264,735,346 "	 940 	 -   	" 1,214 "	 -   	 180 
